Province,Year,Gender,Area_Type,Percentage
Jambi,2021,Female,Urban,14.45952137
Jambi,2021,Female,Rural,19.66122716
Jambi,2021,Female,Urban+Rural,17.96239576
Jambi,2022,Male,Urban,15.65865339
Jambi,2022,Male,Rural,29.2517736
Jambi,2022,Male,Urban+Rural,24.80729953
Jambi,2022,Female,Urban,17.62766875
Jambi,2022,Female,Rural,32.33795648
Jambi,2022,Female,Urban+Rural,27.39896858
Jambi,2023,Male,Urban,23.61783299
Jambi,2023,Male,Rural,23.35438115
Jambi,2023,Male,Urban+Rural,23.44090788
Jambi,2023,Female,Urban,24.83504299
Jambi,2023,Female,Rural,25.57867635
Jambi,2023,Female,Urban+Rural,25.32914862
Sumatera Selatan,2009,Male,Urban,35.84
Sumatera Selatan,2009,Male,Rural,29.55
Sumatera Selatan,2009,Male,Urban+Rural,31.95
Sumatera Selatan,2009,Female,Urban,35.94
Sumatera Selatan,2009,Female,Rural,30.28
Sumatera Selatan,2009,Female,Urban+Rural,32.53
Sumatera Selatan,2010,Male,Urban,31.83
Sumatera Selatan,2010,Male,Rural,28.69
Sumatera Selatan,2010,Male,Urban+Rural,29.79
Sumatera Selatan,2010,Female,Urban,30.79
Sumatera Selatan,2010,Female,Rural,28.87
Sumatera Selatan,2010,Female,Urban+Rural,29.56
Sumatera Selatan,2011,Male,Urban,30.69
Sumatera Selatan,2011,Male,Rural,24.7
Sumatera Selatan,2011,Male,Urban+Rural,26.81
Sumatera Selatan,2011,Female,Urban,25.69
Sumatera Selatan,2011,Female,Rural,30.91
Sumatera Selatan,2011,Female,Urban+Rural,27.59
Sumatera Selatan,2012,Male,Urban,26.53
Sumatera Selatan,2012,Male,Rural,22.64
Sumatera Selatan,2012,Male,Urban+Rural,24.02
Sumatera Selatan,2012,Female,Urban,29.62
Sumatera Selatan,2012,Female,Rural,23.58
Sumatera Selatan,2012,Female,Urban+Rural,25.78
Sumatera Selatan,2013,Male,Urban,28.62012924
Sumatera Selatan,2013,Male,Rural,21.78923771
Sumatera Selatan,2013,Male,Urban+Rural,24.21629248
Sumatera Selatan,2013,Female,Urban,28.63524036
Sumatera Selatan,2013,Female,Rural,22.31483611
Sumatera Selatan,2013,Female,Urban+Rural,24.61740975
Sumatera Selatan,2014,Male,Urban,30.01581827
Sumatera Selatan,2014,Male,Rural,23.95426524
Sumatera Selatan,2014,Male,Urban+Rural,26.10690889
Sumatera Selatan,2014,Female,Urban,31.55822622
Sumatera Selatan,2014,Female,Rural,25.04570622
Sumatera Selatan,2014,Female,Urban+Rural,27.41572212
Sumatera Selatan,2015,Male,Urban,33.62349118
Sumatera Selatan,2015,Male,Rural,26.05577429
Sumatera Selatan,2015,Male,Urban+Rural,28.72045081
Sumatera Selatan,2015,Female,Urban,34.79902906
Sumatera Selatan,2015,Female,Rural,27.47500526
Sumatera Selatan,2015,Female,Urban+Rural,30.12428049
Sumatera Selatan,2016,Male,Urban,29.63465887
Sumatera Selatan,2016,Male,Rural,23.84673715
Sumatera Selatan,2016,Male,Urban+Rural,25.90889845
Sumatera Selatan,2016,Female,Urban,28.91812275
Sumatera Selatan,2016,Female,Rural,26.47452111
Sumatera Selatan,2016,Female,Urban+Rural,27.37045378
Sumatera Selatan,2017,Male,Urban,30.20276816
Sumatera Selatan,2017,Male,Rural,23.72703538
Sumatera Selatan,2017,Male,Urban+Rural,26.06957248
Sumatera Selatan,2017,Female,Urban,30.48550374
Sumatera Selatan,2017,Female,Rural,25.88290428
Sumatera Selatan,2017,Female,Urban+Rural,27.58606096
Sumatera Selatan,2018,Male,Urban,28.40465396
Sumatera Selatan,2018,Male,Rural,25.87674453
Sumatera Selatan,2018,Male,Urban+Rural,26.80762895
Sumatera Selatan,2018,Female,Urban,34.17389456
Sumatera Selatan,2018,Female,Rural,28.09418378
Sumatera Selatan,2018,Female,Urban+Rural,30.3834228
Sumatera Selatan,2019,Male,Urban,33.13770125
Sumatera Selatan,2019,Male,Rural,27.94545271
Sumatera Selatan,2019,Male,Urban+Rural,29.89140048
Sumatera Selatan,2019,Female,Urban,35.32314144
Sumatera Selatan,2019,Female,Rural,29.9476494
Sumatera Selatan,2019,Female,Urban+Rural,31.94763244
Sumatera Selatan,2020,Male,Urban,29.01130855
Sumatera Selatan,2020,Male,Rural,27.28120678
Sumatera Selatan,2020,Male,Urban+Rural,27.92963413
Sumatera Selatan,2020,Female,Urban,33.53643191
Sumatera Selatan,2020,Female,Rural,29.09587181
Sumatera Selatan,2020,Female,Urban+Rural,30.74755045
Sumatera Selatan,2021,Male,Urban,33.58816394
Sumatera Selatan,2021,Male,Rural,22.68144569
Sumatera Selatan,2021,Male,Urban+Rural,26.77708044
Sumatera Selatan,2021,Female,Urban,36.52748863
Sumatera Selatan,2021,Female,Rural,24.61304752
Sumatera Selatan,2021,Female,Urban+Rural,29.07828233
Sumatera Selatan,2022,Male,Urban,29.99958587
Sumatera Selatan,2022,Male,Rural,31.10098308
Sumatera Selatan,2022,Male,Urban+Rural,30.69657208
Sumatera Selatan,2022,Female,Urban,34.58195945
Sumatera Selatan,2022,Female,Rural,33.53579688
Sumatera Selatan,2022,Female,Urban+Rural,33.94110325
Sumatera Selatan,2023,Male,Urban,28.56294457
Sumatera Selatan,2023,Male,Rural,24.50406137
Sumatera Selatan,2023,Male,Urban+Rural,26.01426889
Sumatera Selatan,2023,Female,Urban,31.03801703
Sumatera Selatan,2023,Female,Rural,26.82976035
Sumatera Selatan,2023,Female,Urban+Rural,28.44897592
Bengkulu,2009,Male,Urban,31.09
Bengkulu,2009,Male,Rural,31.51
Bengkulu,2009,Male,Urban+Rural,31.36
Bengkulu,2009,Female,Urban,28.89
Bengkulu,2009,Female,Rural,33.28
Bengkulu,2009,Female,Urban+Rural,31.71
Bengkulu,2010,Male,Urban,31.55
Bengkulu,2010,Male,Rural,35.1
Bengkulu,2010,Male,Urban+Rural,34.03
Bengkulu,2010,Female,Urban,31.89
Bengkulu,2010,Female,Rural,34.16
Bengkulu,2010,Female,Urban+Rural,33.44
Bengkulu,2011,Male,Urban,29.38
Bengkulu,2011,Male,Rural,31.18
Bengkulu,2011,Male,Urban+Rural,30.63
